OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name
,161,0,0.031372549,0.631372549,0.231372549,1,7,Pasture/Hay,11,Mixed Forest,Pasture/Hay to Mixed Forest
,162,937,0.431372549,0.431372549,0,1,7,Pasture/Hay,12,Scrub/Shrub,Pasture/Hay to Scrub/Shrub
,163,0,0,0.360784314,0.360784314,1,7,Pasture/Hay,13,Palustrine Forested Wetland,Pasture/Hay to Palustrine Forested Wetland
,164,0,0.949019608,0.431372549,0,1,7,Pasture/Hay,14,Palustrine Scrub/Shrub Wetland,Pasture/Hay to Palustrine Scrub/Shrub Wetland
,165,16,0.949019608,0,0.949019608,1,7,Pasture/Hay,15,Palustrine Emergent Wetland,Pasture/Hay to Palustrine Emergent Wetland
,166,0,0.239215686,0,0.239215686,1,7,Pasture/Hay,16,Estuarine Forested Wetland,Pasture/Hay to Estuarine Forested Wetland
,167,0,0.431372549,0,0.431372549,1,7,Pasture/Hay,17,Estuarine Scrub/Shrub Wetland,Pasture/Hay to Estuarine Scrub/Shrub Wetland
,168,0,0.690196078,0,0.690196078,1,7,Pasture/Hay,18,Estuarine Emergent Wetland,Pasture/Hay to Estuarine Emergent Wetland
,169,0,0,0.949019608,0.949019608,1,7,Pasture/Hay,19,Unconsolidated Shore,Pasture/Hay to Unconsolidated Shore
,170,16,0.949019608,0.949019608,0,1,7,Pasture/Hay,20,Bare Land,Pasture/Hay to Bare Land
,171,2,0,0,0.470588235,1,7,Pasture/Hay,21,Water,Pasture/Hay to Water
,172,0,0,0,0.949019608,1,7,Pasture/Hay,22,Palustrine Aquatic Bed,Pasture/Hay to Palustrine Aquatic Bed
,173,0,0.4,0.458823529,0.858823529,1,7,Pasture/Hay,23,Estuarine Aquatic Bed,Pasture/Hay to Estuarine Aquatic Bed
,174,0,0.980392157,0.819607843,0,1,7,Pasture/Hay,24,Tundra,Pasture/Hay to Tundra
,175,0,0.670588235,0.980392157,0.941176471,1,7,Pasture/Hay,25,Snow/Ice,Pasture/Hay to Snow/Ice
,176,0,0,0,0,1,8,Grassland,1,Unclassified,Grassland to Unclassified
,177,1,0.949019608,0.949019608,0.949019608,1,8,Grassland,2,High Intensity Developed,Grassland to High Intensity Developed
,178,11,0.658823529,0.6,0.658823529,1,8,Grassland,3,Medium Intensity Developed,Grassland to Medium Intensity Developed
,179,112,0.560784314,0.458823529,0.490196078,1,8,Grassland,4,Low Intensity Developed,Grassland to Low Intensity Developed
,180,278,0.760784314,0.8,0.219607843,1,8,Grassland,5,Developed Open Space,Grassland to Developed Open Space
,181,673,0.329411765,0.129411765,0,1,8,Grassland,6,Cultivated,Grassland to Cultivated
,182,597,0.760784314,0.631372549,0.309803922,1,8,Grassland,7,Pasture/Hay,Grassland to Pasture/Hay
,183,131574,0.760784314,0.850980392,0.870588235,1,8,Grassland,8,Grassland,Grassland to Grassland
,184,0,0,0.949019608,0,1,8,Grassland,9,Deciduous Forest,Grassland to Deciduous Forest
,185,366,0,0.231372549,0,1,8,Grassland,10,Evergreen Forest,Grassland to Evergreen Forest
,186,0,0.031372549,0.631372549,0.231372549,1,8,Grassland,11,Mixed Forest,Grassland to Mixed Forest
,187,1517,0.431372549,0.431372549,0,1,8,Grassland,12,Scrub/Shrub,Grassland to Scrub/Shrub
,188,0,0,0.360784314,0.360784314,1,8,Grassland,13,Palustrine Forested Wetland,Grassland to Palustrine Forested Wetland
,189,0,0.949019608,0.431372549,0,1,8,Grassland,14,Palustrine Scrub/Shrub Wetland,Grassland to Palustrine Scrub/Shrub Wetland
,190,0,0.949019608,0,0.949019608,1,8,Grassland,15,Palustrine Emergent Wetland,Grassland to Palustrine Emergent Wetland
,191,0,0.239215686,0,0.239215686,1,8,Grassland,16,Estuarine Forested Wetland,Grassland to Estuarine Forested Wetland
,192,0,0.431372549,0,0.431372549,1,8,Grassland,17,Estuarine Scrub/Shrub Wetland,Grassland to Estuarine Scrub/Shrub Wetland
,193,0,0.690196078,0,0.690196078,1,8,Grassland,18,Estuarine Emergent Wetland,Grassland to Estuarine Emergent Wetland
,194,0,0,0.949019608,0.949019608,1,8,Grassland,19,Unconsolidated Shore,Grassland to Unconsolidated Shore
,195,16,0.949019608,0.949019608,0,1,8,Grassland,20,Bare Land,Grassland to Bare Land
,196,0,0,0,0.470588235,1,8,Grassland,21,Water,Grassland to Water
,197,0,0,0,0.949019608,1,8,Grassland,22,Palustrine Aquatic Bed,Grassland to Palustrine Aquatic Bed
,198,0,0.4,0.458823529,0.858823529,1,8,Grassland,23,Estuarine Aquatic Bed,Grassland to Estuarine Aquatic Bed
,199,0,0.980392157,0.819607843,0,1,8,Grassland,24,Tundra,Grassland to Tundra
,200,0,0.670588235,0.980392157,0.941176471,1,8,Grassland,25,Snow/Ice,Grassland to Snow/Ice
,201,0,0,0,0,1,9,Deciduous Forest,1,Unclassified,Deciduous Forest to Unclassified
