"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Mesic","Agriculture:All","","Forest:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Mesic","Agriculture:All","","Forest:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Mesic","Agriculture:All","","Forest:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Mesic","Agriculture:All","","Forest:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Mesic","Agriculture:All","","Forest:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Wet","Agriculture:All","","Forest:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Wet","Agriculture:All","","Forest:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Wet","Agriculture:All","","Forest:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Wet","Agriculture:All","","Forest:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Wet","Agriculture:All","","Forest:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Wet","Agriculture:All","","Forest:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Forest",1,,,,,,,,
"","","Dry","Agriculture:All","","Grassland:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Dry","Agriculture:All","","Grassland:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Dry","Agriculture:All","","Grassland:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Dry","Agriculture:All","","Grassland:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Dry","Agriculture:All","","Grassland:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Dry","Agriculture:All","","Grassland:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Grassland:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Grassland:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Grassland:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Grassland:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Grassland:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Grassland:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Wet","Agriculture:All","","Grassland:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Wet","Agriculture:All","","Grassland:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
